Wall time,Step,Value
1741854017.0541234,0,22.7244873046875
1741854066.1415362,1,28.577177047729492
1741854116.5929105,2,31.286334991455078
1741854166.391672,3,33.61506271362305
1741854216.0833805,4,36.631385803222656
1741854264.6787453,5,39.71230697631836
1741854314.3110347,6,40.6546516418457
1741854362.5454676,7,42.334495544433594
1741854411.4840045,8,42.44734191894531
1741854460.9293408,9,42.116153717041016
1741854509.9831078,10,43.06332778930664
1741854558.7580168,11,45.15616989135742
1741854607.7250156,12,49.41981887817383
1741854656.864331,13,56.861881256103516
1741854706.3797166,14,69.037841796875
1741854755.4198039,15,79.9581298828125
1741854804.7106657,16,91.12297821044922
1741854853.054951,17,96.08223724365234
1741854901.8857265,18,98.44868469238281
1741854951.10119,19,99.30889129638672
1741854999.4826329,20,99.53425598144531
1741855047.4419568,21,99.56430053710938
1741855095.5725284,22,99.74459075927734
1741855144.319036,23,99.8046875
1741855192.812157,24,99.78966522216797
1741855240.6722004,25,99.84976196289062
1741855289.5545802,26,99.84976196289062
1741855337.5465322,27,99.87980651855469
1741855386.5867705,28,99.83473205566406
1741855435.3654807,29,99.83089447021484
1741855483.0305302,30,99.7746353149414
1741855530.7970214,31,99.81970977783203
1741855578.3914537,32,99.74459075927734
1741855625.7595296,33,99.6956787109375
1741855673.3349974,34,99.74459075927734
1741855721.076519,35,99.8046875
1741855768.5756342,36,99.83473205566406
1741855816.8224316,37,99.83473205566406
1741855865.4979827,38,99.89482879638672
1741855914.4821835,39,99.90985870361328
1741855962.6044762,40,99.93990325927734
1741856010.6759002,41,99.90985870361328
1741856058.377458,42,99.92488098144531
1741856106.2605066,43,99.95492553710938
1741856153.9070802,44,99.93990325927734
1741856201.6127026,45,99.90985870361328
1741856249.7571228,46,99.90985870361328
1741856297.5378673,47,99.93990325927734
1741856345.0677645,48,99.90985870361328
1741856392.6657064,49,99.90985870361328
1741856441.3058622,50,99.89482879638672
1741856490.1823106,51,99.86478424072266
1741856538.2884934,52,99.74459075927734
1741856586.7804117,53,99.86478424072266
1741856634.761471,54,99.89482879638672
1741856682.7175665,55,99.92488098144531
1741856731.044208,56,99.8909912109375
1741856780.1658716,57,99.93990325927734
1741856828.4398243,58,99.9699478149414
1741856876.6464293,59,99.95492553710938
1741856924.7624087,60,99.95492553710938
1741856973.080269,61,99.95492553710938
1741857021.9924812,62,99.93990325927734
1741857070.1372454,63,99.92488098144531
1741857118.8686094,64,99.93990325927734
1741857166.8250709,65,99.92488098144531
1741857215.0561929,66,99.90985870361328
1741857264.5742872,67,99.86478424072266
1741857314.4270453,68,99.90985870361328
1741857363.8650465,69,99.86478424072266
1741857413.5349855,70,99.84976196289062
1741857463.2511652,71,99.87980651855469
1741857513.5512524,72,99.87980651855469
1741857563.5908144,73,99.87980651855469
1741857611.9704063,74,99.92488098144531
1741857661.5759187,75,99.95492553710938
1741857711.359604,76,99.9699478149414
1741857761.2373571,77,99.9699478149414
1741857808.7412677,78,99.9699478149414
1741857858.3348794,79,99.9699478149414
1741857907.938075,80,99.9699478149414
1741857957.4710112,81,99.9699478149414
1741858007.494754,82,99.9699478149414
1741858058.033179,83,99.90985870361328
1741858107.4314115,84,99.95492553710938
1741858157.0432901,85,99.93990325927734
1741858206.6777558,86,99.89482879638672
1741858257.0876622,87,99.89482879638672
1741858307.3488212,88,99.87980651855469
1741858357.0392768,89,99.93990325927734
1741858406.9412496,90,99.93990325927734
1741858456.5268166,91,99.95492553710938
1741858506.8510692,92,99.93990325927734
1741858556.9225416,93,99.9699478149414
1741858607.04478,94,99.95492553710938
1741858656.203892,95,99.9699478149414
1741858706.3771014,96,99.9699478149414
1741858756.4045038,97,99.95492553710938
1741858805.822781,98,99.9699478149414
1741858855.6172209,99,99.9699478149414
1741858905.2285817,100,99.9699478149414
1741858954.2430422,101,99.9699478149414
1741859002.8049414,102,99.93990325927734
1741859052.0913913,103,99.95492553710938
1741859101.8643608,104,99.82705688476562
1741859151.5113475,105,99.90985870361328
1741859201.103185,106,99.92488098144531
1741859250.660844,107,99.90985870361328
1741859300.266718,108,99.93990325927734
1741859349.6000986,109,99.95492553710938
1741859398.9764092,110,99.9699478149414
1741859448.8258593,111,99.93990325927734
1741859498.2059078,112,99.9699478149414
1741859547.2082176,113,99.9699478149414
1741859596.0125258,114,99.95492553710938
1741859644.933792,115,99.9699478149414
1741859694.707767,116,99.9699478149414
1741859744.2941575,117,99.9699478149414
1741859793.4271848,118,99.9699478149414
1741859843.6377418,119,99.9699478149414
1741859893.7848787,120,99.93990325927734
1741859942.842774,121,99.90985870361328
1741859992.3343868,122,99.95492553710938
1741860042.0704176,123,99.92488098144531
1741860091.277812,124,99.90985870361328
1741860141.0610306,125,99.93990325927734
