#Frame      Mode1    Mode2    Mode3
     188  -50.354  -63.836   13.222
     189  -61.257  -58.112   29.262
     190  -73.056  -54.812   19.838
     191  -58.454  -72.440   19.022
     192  -49.245  -78.787   16.285
     193  -59.104  -76.903   29.541
     194  -63.609  -64.600   33.706
     195  -77.968  -64.768   24.542
     196  -68.216  -75.540   22.841
     197  -85.052  -62.122   14.747
     198  -72.550  -70.311   21.302
     199  -64.689  -71.876   26.244
     200  -72.484  -48.232   31.735
     201  -97.074  -26.888   34.284
     202  -79.110  -42.169   38.777
     203  -79.173  -45.653   32.708
     204  -85.080  -44.937   22.445
     205  -76.906  -55.380   13.871
     206  -67.707  -46.130   19.072
     207  -83.238  -54.382   13.248
     208  -71.998  -50.926   34.405
     209  -77.896  -56.601   18.763
     210  -62.617  -51.525   37.996
     211  -74.569  -46.056   32.801
     212  -92.314  -41.909   26.433
     213  -71.789  -43.346   34.101
     214  -64.088  -54.986   32.344
     215  -69.031  -47.478   25.734
     216  -52.921  -61.020   30.305
     217  -45.737  -67.857   32.071
     218  -59.336  -60.820   29.134
     219  -46.370  -75.256   31.211
     220  -57.079  -54.645   37.037
     221  -56.127  -58.027   22.146
     222  -42.558  -68.158   28.440
     223  -57.709  -67.690   36.588
     224  -55.902  -57.883   40.213
     225  -46.240  -72.125   30.549
     226  -27.134  -86.257   46.827
     227  -32.288  -67.412   43.400
     228  -50.744  -65.447   35.428
     229  -62.500  -57.009   43.589
     230  -70.937  -56.629   36.252
     231  -42.908  -76.252   32.190
     232  -35.042  -74.014   26.539
     233  -20.875  -73.457   47.155
     234  -54.327  -43.810   52.662
     235  -49.106  -46.152   56.719
     236  -51.185  -41.630   66.639
     237  -70.551  -31.795   52.850
     238  -47.822  -50.159   48.629
     239  -48.960  -40.907   50.422
     240  -54.090  -46.343   45.590
     241  -31.124  -55.192   37.137
     242  -45.984  -58.767   41.511
     243  -58.738  -54.052   42.299
     244  -44.409  -46.099   46.731
     245  -52.410  -39.992   63.819
     246  -41.390  -46.926   60.949
     247  -53.152  -43.369   56.190
     248  -48.805  -45.640   46.145
     249  -60.183  -42.575   34.325
     250  -39.227  -52.848   48.812
     251  -38.831  -55.154   35.274
     252  -37.000  -61.408   46.132
     253  -41.593  -51.127   52.752
     254  -58.611  -54.910   38.637
     255  -50.696  -50.240   38.271
     256  -58.430  -46.553   33.026
     257  -56.007  -54.149   34.285
     258  -47.860  -56.967   28.546
     259  -31.838  -55.907   36.278
     260  -37.017  -50.911   45.443
     261  -30.449  -64.532   31.829
     262  -63.292  -43.926   42.287
     263  -45.902  -57.589   38.225
     264  -59.877  -56.385   40.477
     265  -42.803  -50.231   46.808
     266  -47.491  -53.688   44.979
     267  -41.823  -53.775   38.105
     268  -52.365  -50.269   44.535
     269  -38.731  -60.865   39.875
     270  -47.316  -61.549   47.733
     271  -36.342  -64.595   44.467
     272  -54.641  -50.663   41.751
     273  -58.387  -71.112   38.043
     274  -57.913  -54.524   34.841
     275  -49.685  -63.520   43.493
