#Frame      Mode1    Mode2    Mode3
    1251  -63.100  -34.541  -26.228
    1252  -58.457  -29.172  -30.636
    1253  -56.127  -25.072  -21.136
    1254  -60.786  -29.174  -25.932
    1255  -61.928  -23.793  -19.099
    1256  -46.430  -37.500  -19.118
    1257  -63.886  -24.640  -15.553
    1258  -54.970  -33.075  -18.765
    1259  -51.032  -35.104  -19.642
    1260  -49.481  -36.471  -19.233
    1261  -69.341  -26.012   -8.017
    1262  -60.562  -17.778  -14.965
    1263  -66.253  -24.548  -12.031
    1264  -62.471  -13.883   -5.138
    1265  -36.729  -37.000  -15.728
    1266  -41.719  -33.449  -22.159
    1267  -57.361  -36.556   -1.315
    1268  -55.321  -39.281  -23.682
    1269  -38.786  -53.579  -34.126
    1270  -51.118  -33.043  -15.150
    1271  -50.314  -40.876  -21.754
    1272  -58.514  -49.647  -26.795
    1273  -53.635  -28.378  -12.738
    1274  -56.013  -26.203  -14.913
    1275  -66.411  -26.958  -10.092
    1276  -63.019  -31.904   -8.529
    1277  -55.890  -30.244  -14.776
    1278  -47.627  -38.147  -20.463
    1279  -42.943  -48.646   -7.869
    1280  -56.722  -31.309   -8.334
    1281  -60.773  -18.252    0.896
    1282  -61.880  -40.553  -22.808
    1283  -52.779  -51.613   -9.895
    1284  -59.700  -38.989   -8.453
    1285  -64.909  -46.432    1.013
    1286  -70.148  -43.641  -12.229
    1287  -75.356  -31.999    2.058
    1288  -72.835  -33.604    3.171
    1289  -63.989  -28.278    9.653
    1290  -70.571  -39.545   -7.615
    1291  -62.956  -23.740   -0.087
    1292  -64.046  -35.761   -0.020
    1293  -43.267  -48.369    3.148
    1294  -51.712  -34.571    6.822
    1295  -50.953  -52.485    5.483
    1296  -62.489  -32.648    7.843
    1297  -87.590  -23.490   -1.194
    1298  -67.154  -37.718   11.629
    1299  -53.365  -34.795   12.553
    1300  -61.153  -31.381    9.332
    1301  -61.213  -53.309  -10.480
    1302  -78.427  -26.639   -7.739
    1303  -63.418  -28.583  -10.746
    1304  -62.423  -37.784    3.231
    1305  -70.245  -25.444    4.231
    1306  -61.975  -31.825    9.364
    1307  -77.752  -22.208    6.977
    1308  -80.380  -25.401  -11.077
    1309  -92.029  -15.901   -1.733
    1310  -93.401    7.621   15.467
    1311  -94.073  -13.327   -7.301
    1312  -88.080  -14.572  -12.629
    1313  -95.005   -1.385  -13.755
    1314  -89.317  -10.755  -11.555
    1315  -93.136  -12.384  -14.938
    1316  -98.663  -13.161  -17.062
    1317  -90.644  -14.287  -16.994
    1318  -93.295  -15.140  -20.883
    1319  -68.357  -19.156   -7.044
    1320  -77.438  -14.209   -4.853
    1321  -68.976  -18.341   -2.940
    1322  -68.410  -17.361   -4.505
    1323  -76.756  -17.459  -15.354
    1324  -84.162   -3.748   -3.299
    1325  -77.384  -25.638  -16.266
    1326  -81.038  -12.850  -20.843
    1327  -81.986  -25.537  -11.497
    1328  -55.975  -38.964  -12.109
    1329  -51.256  -51.805  -23.143
    1330  -60.829  -33.763   -4.992
    1331  -61.224  -33.401  -14.307
    1332  -81.354  -19.625  -10.450
    1333  -84.984  -12.265  -18.637
    1334 -104.459   -7.113  -13.621
    1335  -96.075   -9.206   -2.790
    1336 -107.995   -6.947   -6.887
    1337  -96.510   -3.317   -1.323
    1338  -95.845  -14.769   -7.033
    1339 -108.537   -6.216  -14.250
    1340 -116.881   -3.299  -12.949
    1341  -96.416  -23.630  -24.366
    1342  -96.891   -6.317   -5.480
    1343 -109.936   -4.070   -6.340
    1344  -88.438  -19.271  -14.488
    1345 -110.796    3.704  -13.007
    1346 -122.705   16.913   -5.218
    1347  -99.275  -15.547  -20.444
    1348 -104.834   -8.326  -12.068
    1349  -96.127  -22.697  -31.950
    1350  -78.225  -21.734  -36.580
    1351  -99.722    0.510  -17.561
    1352  -87.175  -25.574  -18.382
    1353 -105.846  -13.304  -18.694
    1354  -94.648  -22.744  -35.517
    1355  -82.520  -15.231   -7.895
    1356  -82.458  -25.874  -13.995
    1357  -98.424   -6.047   -4.859
    1358  -95.837  -15.227   -5.735
    1359 -106.985  -22.550  -16.024
    1360 -104.152  -14.636  -16.272
    1361  -86.469  -36.019  -17.415
    1362  -79.037  -40.535   -5.713
    1363  -73.037  -26.415    1.998
    1364  -85.795  -13.410  -10.110
    1365  -82.000  -29.834  -24.912
    1366  -72.130  -29.498  -15.887
    1367  -93.158  -31.061  -20.331
    1368  -76.800  -30.768  -13.046
    1369  -66.338  -40.703  -12.505
    1370  -77.409  -30.559  -13.912
    1371  -73.019  -38.405   -4.670
    1372  -71.199  -32.761  -21.162
    1373  -78.546  -32.250  -12.620
    1374  -79.114  -22.268  -17.195
    1375  -50.680  -31.255   -4.494
    1376  -62.590  -35.744  -13.553
    1377  -76.059  -20.855   -4.486
    1378  -68.546  -34.274  -26.536
    1379  -62.240  -38.646  -14.368
    1380  -68.430  -32.594  -13.040
    1381  -92.564  -19.768   -8.755
    1382  -76.899  -23.371  -14.687
    1383  -60.429  -41.372  -30.144
    1384  -71.878  -37.490  -33.579
    1385  -74.315  -35.359  -15.928
    1386  -63.105  -43.068  -17.935
    1387  -50.447  -49.055  -22.384
    1388  -79.648  -25.672  -27.837
    1389  -70.080  -15.384  -25.777
    1390  -84.320  -15.837  -35.635
    1391  -94.111  -14.186  -12.182
    1392  -82.305  -17.094  -17.697
    1393  -68.828  -20.154  -10.114
    1394  -79.535   -3.627   -0.605
    1395  -74.229  -16.366   -6.401
    1396  -65.097  -24.867    1.982
    1397  -67.323  -28.264   -2.338
    1398  -66.258  -22.232   -2.626
    1399  -76.105  -13.817    3.849
    1400  -53.856  -28.131    2.439
    1401  -66.670  -13.535   18.428
    1402  -75.464  -25.878   -6.740
    1403  -82.167  -13.492   -5.656
    1404  -88.767  -13.608   -3.907
    1405  -82.892   -7.794  -14.484
    1406  -62.938  -19.560  -13.769
    1407  -84.679  -13.798  -23.687
    1408  -90.359  -26.215  -21.531
    1409  -66.281  -23.404  -15.573
    1410  -62.547  -10.021   -4.738
    1411  -72.853  -17.469  -12.119
    1412  -81.178   -7.573   -5.073
    1413  -83.142   -9.502   -4.322
    1414  -78.094  -18.467   -2.523
    1415  -76.132  -19.912  -14.749
    1416  -60.223  -26.762   -7.039
    1417  -70.751  -26.483  -12.445
    1418  -53.442  -31.546   -7.842
    1419  -70.207  -17.792    2.643
    1420  -73.138  -18.848   -8.308
    1421  -72.078  -29.300  -22.378
    1422  -61.746  -37.146  -10.520
    1423  -70.282  -19.097  -17.674
    1424  -84.677  -17.273  -18.808
    1425 -107.145   -8.442  -19.559
    1426  -99.014  -11.491  -10.788
    1427  -88.769   -6.829  -19.795
    1428  -92.384  -24.506  -23.749
    1429  -94.922  -16.923  -28.855
    1430  -79.088  -32.128  -24.097
    1431  -76.245  -20.175  -32.597
    1432  -90.803  -19.394  -24.771
    1433  -73.999  -33.654  -22.926
    1434  -79.267  -27.719  -29.692
    1435  -80.653  -30.357  -20.651
    1436  -97.646  -22.995  -19.961
    1437  -80.784  -25.829  -26.057
    1438  -84.208  -20.787  -27.705
    1439  -86.078  -20.319  -23.472
    1440  -61.505  -27.916  -23.746
    1441  -83.486  -19.271  -17.740
    1442  -79.206  -17.182  -11.943
    1443  -81.765  -24.479  -13.881
    1444  -67.320  -29.888  -14.198
    1445  -74.037  -28.178   -9.160
    1446  -92.442  -13.882  -10.214
    1447 -102.454  -10.236   -1.377
    1448  -85.486   -6.778   -1.495
    1449  -85.724    3.227   -4.314
    1450  -91.774    1.391  -10.889
    1451  -93.003  -10.003   -9.755
    1452 -100.492   -3.427    1.280
    1453  -86.462  -20.083   -1.542
    1454  -62.679  -27.582  -14.276
    1455  -80.143  -19.970  -12.885
    1456  -86.025  -16.458   -6.863
    1457  -81.303  -32.275  -27.237
    1458  -87.248  -13.432  -12.142
    1459  -85.458  -19.339  -18.365
    1460  -82.654    0.741  -10.197
    1461  -74.453  -14.562  -11.317
    1462  -67.355  -17.377  -18.715
    1463  -85.519  -19.318  -20.421
    1464  -69.086  -18.168  -14.506
    1465  -74.614  -19.019  -16.641
    1466  -72.202  -20.714  -19.242
    1467  -69.018  -13.835  -11.249
    1468  -86.704  -11.704  -13.216
    1469  -75.685  -12.003   -3.643
    1470  -86.041  -19.864  -16.015
    1471  -81.095  -39.130  -18.723
    1472  -87.097  -20.927  -23.841
    1473  -89.031   -5.716  -10.473
    1474  -76.486   -9.505  -13.707
    1475  -78.622  -27.157   -1.639
    1476  -72.271  -27.739   -6.355
    1477  -92.332  -22.377   -4.182
    1478  -90.749  -21.221  -10.938
    1479  -80.778  -19.411  -11.348
    1480  -82.521  -12.152   -5.692
    1481  -70.736   -2.689   -8.047
    1482  -87.958  -21.008   -9.036
    1483  -85.634  -17.594  -13.803
    1484  -68.053  -34.393   -6.933
    1485  -75.628  -24.913  -14.000
    1486  -58.352  -31.864  -28.508
    1487  -68.510  -29.375  -13.753
    1488  -68.212  -40.589  -33.811
    1489  -66.265  -36.370  -33.381
    1490  -69.674  -33.174  -35.002
    1491  -92.675  -18.851  -33.807
    1492  -86.364  -19.568  -38.728
    1493  -87.290  -13.084  -31.030
    1494  -86.594  -19.732  -28.316
    1495  -72.733   -7.497  -19.332
    1496  -64.283  -17.660  -15.851
    1497  -83.045  -14.680  -15.006
    1498  -90.224   -6.244  -14.140
    1499  -83.849    3.725   -5.216
    1500  -78.035   -5.332  -26.010
    1501  -87.369   -6.972  -27.908
    1502  -80.775   -6.851  -22.466
    1503  -97.931   -4.476  -31.040
    1504  -91.546   -7.054  -46.193
    1505  -81.942   -5.724  -24.122
    1506  -77.909   -6.836  -19.684
    1507  -90.277    1.083  -17.451
    1508  -78.181   -0.727  -17.385
    1509  -68.384  -14.380  -22.171
    1510  -66.926  -17.684  -25.254
    1511  -79.130  -14.756  -33.439
    1512  -59.010  -23.848  -18.776
    1513  -76.119  -13.376  -22.465
    1514  -84.761   -5.096  -21.519
    1515  -78.595    2.417  -28.443
    1516  -68.084  -19.226  -34.964
    1517  -79.199   -4.865  -15.295
    1518  -75.997  -11.706  -25.354
    1519  -64.518  -31.340  -32.102
    1520  -49.626  -31.577  -42.002
    1521  -42.579  -35.707  -43.414
    1522  -45.048  -37.908  -38.129
    1523  -40.355  -36.282  -41.968
    1524  -42.499  -28.792  -38.133
    1525  -52.877   -2.785  -34.103
    1526  -42.989  -20.652  -24.339
    1527  -29.463  -37.253  -38.513
    1528  -52.296  -12.051  -35.468
    1529  -45.285  -17.515  -29.786
    1530  -41.431  -29.197  -48.924
    1531  -46.682  -28.573  -39.530
    1532  -28.032  -28.986  -29.284
    1533  -23.893  -35.965  -28.060
    1534  -31.557   -9.570  -29.902
    1535  -41.969  -10.833  -36.201
    1536  -44.175  -23.366  -38.571
    1537  -27.338  -31.677  -47.950
    1538  -28.716  -23.438  -40.712
    1539  -27.632  -34.400  -32.824
    1540  -32.939  -41.741  -40.172
    1541  -32.599  -26.849  -26.915
    1542  -36.810  -32.064  -32.501
    1543  -31.245  -29.706  -41.292
    1544  -52.513  -23.258  -54.362
    1545  -32.464  -31.643  -35.214
    1546  -43.687  -23.452  -26.797
    1547  -20.605  -31.436  -37.374
    1548  -37.894  -23.852  -38.776
    1549  -58.263   -9.518  -41.654
    1550  -50.369  -26.302  -43.881
    1551  -64.072   -9.725  -19.497
    1552  -59.631  -13.577  -31.285
    1553  -56.072  -22.423  -36.771
    1554  -50.344  -24.852  -33.972
    1555  -10.692  -37.438  -30.612
    1556  -28.781  -24.967  -53.527
    1557  -33.395  -31.492  -55.027
    1558  -39.928  -38.391  -46.104
    1559  -22.555  -49.609  -62.089
    1560  -35.908  -27.374  -43.363
    1561  -51.126  -16.329  -41.705
    1562  -31.412  -29.389  -37.683
    1563  -45.697  -23.241  -51.826
    1564  -42.236  -13.499  -22.365
    1565  -34.453  -12.188  -32.160
    1566  -41.661   -1.136  -30.798
    1567  -46.468  -10.919  -33.378
    1568  -39.597  -16.561  -37.151
    1569  -56.128    0.221  -34.785
    1570  -29.844  -37.975  -43.760
    1571  -28.930  -28.407  -41.777
    1572  -50.373  -14.578  -54.023
    1573  -53.565  -12.500  -47.261
    1574  -31.696  -22.786  -35.527
    1575  -22.694  -17.265  -26.772
    1576  -25.664  -34.699  -40.052
    1577  -29.832  -37.048  -53.923
    1578  -15.824  -34.856  -41.857
    1579  -22.543  -37.309  -53.169
    1580  -13.326  -35.026  -47.538
    1581   -9.980  -50.223  -52.674
    1582  -19.400  -28.563  -41.238
    1583  -22.196  -30.018  -42.359
    1584  -32.781  -43.012  -44.859
    1585  -19.735  -43.262  -33.139
    1586  -31.831  -18.233  -33.940
    1587  -36.414  -18.733  -36.354
    1588  -22.841  -49.060  -42.757
    1589  -32.388  -22.680  -29.554
    1590  -41.413  -23.135  -34.803
    1591  -38.795  -15.616  -24.209
    1592  -32.109  -35.446  -33.681
    1593  -36.445  -42.116  -37.651
    1594  -37.506  -28.869  -39.779
    1595  -33.178  -24.403  -30.450
    1596  -21.927  -37.983  -44.509
    1597   -9.432  -42.972  -25.502
    1598   -7.416  -47.139  -22.955
    1599  -19.041  -45.232  -32.005
    1600  -21.246  -38.798  -29.792
    1601  -36.711  -32.071  -40.909
    1602  -42.731   -2.819  -12.941
    1603  -36.595   -0.360    3.561
    1604  -33.533  -18.854  -22.063
    1605  -29.322  -20.012  -21.509
    1606  -31.012  -18.521  -15.677
    1607  -32.164  -20.389  -19.870
    1608  -22.857  -23.357  -26.668
    1609  -46.073  -22.772  -30.670
    1610  -41.623  -18.600  -21.944
    1611  -37.966  -21.100  -25.868
    1612  -32.696  -30.423  -38.128
    1613  -30.134  -28.177  -29.534
    1614  -51.966   -8.584  -30.068
    1615  -55.978  -11.912  -37.282
    1616  -35.887  -21.869  -15.420
    1617  -41.887  -27.357  -20.148
    1618  -65.524  -11.463  -34.113
    1619  -52.556  -10.951  -15.536
    1620  -42.329  -26.650   -7.540
    1621  -27.092  -12.321  -11.041
    1622  -29.238  -20.236   -9.265
    1623  -21.198  -15.164   -9.937
    1624  -15.922  -27.836  -13.044
    1625  -21.389  -31.718  -33.316
    1626  -43.653  -25.259  -12.678
    1627  -11.126  -45.938  -27.502
    1628  -27.560  -28.165  -22.296
    1629  -32.011  -17.844  -21.787
    1630  -41.246  -20.038  -24.715
    1631  -60.013   -8.952  -18.417
    1632  -69.252   -6.520  -34.905
    1633  -72.554   -0.010  -20.207
    1634  -93.472    9.379  -16.311
    1635  -64.446   12.945   -7.496
    1636  -52.111  -10.358  -24.367
    1637  -51.619   -8.998   -5.750
    1638  -28.152  -22.565   -4.831
    1639  -31.222  -21.443   -1.080
    1640  -32.015  -35.347    9.611
    1641    1.693  -42.335    7.212
    1642  -14.586  -32.532   18.571
    1643  -21.060  -19.938    5.037
    1644  -34.201  -15.079   -1.379
    1645  -41.306  -21.252  -13.191
    1646  -30.835  -22.050  -10.621
    1647  -51.041   -2.144   -9.305
    1648  -41.505  -11.866  -14.588
    1649  -42.291  -27.806  -19.320
    1650  -18.059  -36.289  -12.222
    1651  -26.103  -24.838  -21.909
    1652  -27.847  -17.238  -15.126
    1653  -31.687  -18.064  -19.235
    1654  -32.786  -14.650   -5.592
    1655  -25.138  -25.611   -2.402
    1656  -23.196  -27.120  -12.957
    1657  -14.949  -40.038   -3.139
    1658  -30.356  -31.656   -3.945
    1659  -28.072  -18.953   -9.818
    1660  -23.606  -23.509  -12.740
    1661  -37.300   -4.811    7.150
    1662  -43.121  -11.076  -13.201
    1663  -26.132  -28.509  -12.468
    1664  -28.605  -23.333  -11.932
    1665  -32.471  -19.674   -0.110
    1666  -29.718  -34.824  -10.656
    1667  -44.933  -23.924  -19.451
    1668  -44.209  -21.487  -17.700
    1669  -34.000  -21.687   -8.886
    1670  -65.978  -11.549   -8.116
    1671  -43.332  -11.925   -0.473
    1672  -32.994  -28.438    2.586
    1673  -34.774  -27.516   -0.731
    1674  -61.981   -5.924  -13.998
    1675  -53.970   -5.176  -10.356
    1676  -36.818  -20.828   -6.338
    1677  -45.178  -22.479  -18.857
    1678  -31.039  -15.276   -2.197
    1679  -54.059  -17.736  -12.245
    1680  -40.118  -26.398  -24.930
    1681  -49.893  -13.398   -3.955
    1682  -54.635   -6.016   -4.414
    1683  -38.334  -30.687   -3.021
    1684  -48.425  -13.206   -0.744
    1685  -53.267  -13.839   -6.501
    1686  -51.009  -12.661    4.406
    1687  -47.442  -14.575   10.155
    1688  -31.445  -27.458    8.900
    1689  -34.613  -30.521    4.349
    1690  -36.677  -16.861    4.704
    1691  -38.643  -13.360    6.986
    1692  -41.701    8.463   20.285
    1693  -42.734  -10.858   12.155
    1694  -50.419   -6.408   12.093
    1695  -56.103  -17.769   -8.435
    1696  -45.964  -15.439    4.733
    1697  -48.656   -7.409   -0.347
    1698  -33.622  -13.451    2.066
    1699  -44.692   -3.281    0.465
    1700  -52.685  -19.504  -25.058
    1701  -38.411  -24.330  -26.611
    1702  -44.129  -18.181  -15.080
    1703  -24.244  -29.525    3.609
    1704  -16.666  -23.398   14.103
    1705  -47.525   -9.142   16.161
    1706  -41.647  -16.411    3.800
    1707  -58.160  -19.019  -24.779
    1708  -41.717  -20.985  -11.397
    1709  -61.101   -1.005    5.104
    1710  -54.771    2.678    7.384
    1711  -62.012    6.156   11.280
    1712  -49.269   -4.275   13.667
    1713  -45.868  -20.855   -4.638
    1714  -49.985  -25.059   -0.972
    1715  -55.174   -8.561    3.546
    1716  -48.855   -1.853   13.708
    1717  -38.549   -9.276    5.305
    1718  -40.375   -5.324    7.408
    1719  -47.692   -4.206    3.436
    1720  -44.006  -15.996    4.144
    1721  -35.987  -15.252    6.995
    1722  -36.514   -7.338   -3.125
    1723  -34.339   -6.548   18.103
    1724  -25.853  -13.756  -12.939
    1725  -19.263   -4.054   11.586
    1726  -21.404  -13.749   14.088
    1727  -22.186   -3.712   13.391
    1728  -35.063    0.283   12.872
    1729  -26.251   -4.962   16.445
    1730  -14.605   -7.709   10.827
    1731  -23.255   -1.894   15.584
    1732  -26.855    2.294   14.113
    1733  -26.027   -1.814   22.417
    1734  -35.452   -1.792   25.274
    1735  -26.882    7.004   38.384
    1736  -23.989  -10.974   36.699
    1737  -32.222    2.507   37.849
    1738  -44.122   -5.534   14.435
    1739  -42.943    0.900   17.979
    1740  -49.442    9.757   14.829
    1741  -46.988    3.686   18.737
    1742  -60.719    9.972   17.228
    1743  -61.032   11.048   16.914
    1744  -35.168  -12.585   11.198
    1745  -41.918   -4.652   17.992
    1746  -52.231   -3.441   12.390
    1747  -42.713  -13.107    9.353
    1748  -66.738   -1.835   12.240
    1749  -89.223    6.359   12.543
    1750  -64.979   -2.202    9.368
    1751  -50.260  -13.037    2.820
    1752  -65.611   -1.207   -2.346
    1753  -59.720  -17.182   -1.811
    1754  -51.710   -8.702   -8.209
    1755  -56.631   -4.282   -1.138
    1756  -62.433    6.213   -2.386
    1757  -70.121    5.330   10.982
    1758  -50.386   -9.542   11.392
    1759  -52.047  -14.144   -2.811
    1760  -61.016   -2.928    1.117
    1761  -33.997  -29.147   -7.854
    1762  -51.559   -6.790    4.000
    1763  -55.086   -3.430    5.472
    1764  -57.295    1.368    9.876
    1765  -54.460   -4.149   11.592
    1766  -50.036   -2.090    7.188
    1767  -46.385   -0.732   18.768
    1768  -73.522    2.818    7.259
    1769  -64.248    8.263    9.788
    1770  -72.101    9.176   29.135
    1771  -71.452   -2.372   10.606
    1772  -87.073    8.885   20.460
    1773  -60.461  -12.295    9.357
    1774  -65.540   -0.877   18.025
    1775  -61.926   -4.597    8.202
    1776  -36.495  -16.087   11.562
    1777  -48.695   -3.398   23.972
    1778  -41.149   -5.531   12.049
    1779  -41.700   -0.122   18.880
    1780  -47.013   -1.334   21.369
    1781  -62.173   -9.059   17.899
    1782  -57.051   -2.130   13.480
    1783  -66.752  -11.333   -6.408
    1784  -69.526   -1.285    1.271
    1785  -72.250    4.362   21.128
    1786  -72.508   -3.136   11.359
    1787  -44.125  -13.431   18.640
    1788  -65.135  -10.667   11.108
    1789  -60.334   -9.191   11.438
    1790  -43.573    0.835   25.666
    1791  -55.502   -0.639   14.652
    1792  -45.893   -9.552   16.939
    1793  -50.374   -6.438   20.788
    1794  -57.194   -5.108   19.778
    1795  -60.286    5.743    5.391
    1796  -46.374   -1.725   22.423
    1797  -54.088    4.388   18.939
    1798  -50.006   -5.292   17.445
    1799  -47.357   -3.161   15.434
    1800  -31.141   -8.186   20.984
    1801  -40.153   -6.428   19.004
    1802  -29.608  -13.841   18.327
    1803  -46.386   -5.173   16.773
    1804  -39.864   -7.178   20.447
    1805  -51.161   -6.611   21.972
    1806  -59.874   20.263   23.240
    1807  -46.376   -2.314   26.152
    1808  -56.977    7.218   13.549
    1809  -51.064   -5.151    3.666
    1810  -45.210    6.381   22.286
    1811  -31.435   13.221   39.839
    1812  -62.866   21.465   27.072
    1813  -28.419    5.261   20.842
    1814  -34.361    3.084   20.997
    1815  -32.271    6.310   29.861
    1816  -35.548   10.387   18.823
    1817  -10.801   -9.801   28.223
    1818  -35.483    7.075   20.772
    1819  -27.369    6.965   24.217
    1820  -25.250   -3.543   20.845
    1821  -26.050   -3.672   26.258
    1822  -39.757    7.187   25.287
    1823  -44.593    5.363   23.195
    1824  -37.166   13.373   27.368
    1825  -17.700    4.053   29.982
    1826  -30.944    2.293   15.310
    1827  -44.621   13.303   11.959
    1828  -26.998    0.409   15.105
    1829  -23.071    4.409    7.172
    1830  -33.877   -1.133   -8.534
    1831  -40.682    7.854    7.472
    1832  -42.533   -5.005  -17.214
    1833  -42.626   -5.001   -5.599
    1834  -25.865   -9.756   -1.966
    1835    3.399  -22.612   -0.469
    1836  -27.063  -26.221   -1.269
    1837  -29.513  -28.584   -9.300
    1838  -29.279  -24.658  -19.821
    1839  -39.430  -27.954  -20.218
    1840  -31.286  -28.444  -10.711
    1841  -21.065  -25.616  -17.637
    1842  -50.677   -5.861   -3.204
    1843  -29.870  -19.626    4.849
    1844  -30.380  -13.626    9.879
    1845  -18.726  -22.019   10.470
    1846  -14.212  -20.433    2.959
    1847  -25.941  -31.487   -9.608
    1848  -24.478  -30.264   -2.056
    1849  -20.866  -21.601    7.657
    1850  -26.435  -22.626    1.848
    1851  -27.094  -18.209   -9.097
    1852  -31.724  -26.156   -3.644
    1853  -46.536  -12.572    0.856
    1854  -49.526  -12.164  -12.300
    1855  -41.426  -13.698   -3.815
    1856  -38.014  -13.772  -15.532
    1857  -40.782  -10.023  -10.449
    1858  -33.066  -20.718   -6.194
    1859  -30.223  -20.949  -18.212
    1860  -30.444  -36.201  -28.792
    1861  -29.376  -21.969   -8.852
    1862  -36.916  -23.000  -12.176
    1863  -51.466  -10.452    3.025
    1864  -43.244  -18.551   -1.209
    1865  -66.738   -1.392   -7.841
    1866  -51.197  -23.411  -16.932
    1867  -68.690  -10.734  -14.138
    1868  -78.411  -11.173  -17.525
    1869  -63.559  -16.917   -6.903
    1870  -58.532  -15.595   -0.055
    1871  -62.337  -13.005   -8.827
    1872  -65.362  -21.063   -8.149
    1873  -61.223   -8.165   -0.864
    1874  -61.996   -7.183    0.076
    1875  -54.744  -13.563   -5.897
    1876  -73.359  -16.919   -9.941
    1877  -57.252  -15.387   -6.208
    1878  -71.847   -9.006  -12.687
    1879  -55.768  -10.595    4.131
    1880  -61.159  -14.821   -2.759
    1881  -48.571  -17.016   -9.458
    1882  -67.388   -9.847    3.475
    1883  -47.000  -11.178    2.604
    1884  -60.460   -3.181  -17.464
    1885  -68.955   -8.224  -24.921
    1886  -54.244  -11.088  -21.226
    1887  -51.791  -10.734  -21.224
    1888  -62.624   -2.598  -28.061
    1889  -58.645   -8.591  -26.154
    1890  -61.064   -6.332  -28.316
    1891  -50.980  -10.571  -28.441
    1892  -62.065   -5.237  -23.775
    1893  -80.963  -18.167  -42.240
    1894  -70.172   -6.724  -27.597
    1895  -58.565  -19.825  -25.454
    1896  -68.757  -23.145  -46.178
    1897  -76.142  -14.263  -49.809
    1898  -68.842  -19.076  -46.339
    1899  -59.832  -20.986  -41.075
    1900  -59.432  -19.300  -45.772
    1901  -73.396  -19.172  -49.517
    1902  -77.377  -23.707  -55.773
    1903  -75.611  -12.392  -58.951
    1904  -73.763   -8.370  -53.978
    1905  -65.405  -22.147  -66.525
    1906  -64.081   -3.123  -52.304
    1907  -55.335  -12.821  -48.550
    1908  -44.871  -17.856  -39.155
    1909  -48.403  -17.789  -39.232
    1910  -43.158  -24.282  -39.529
    1911  -33.344  -22.655  -25.784
    1912  -26.155  -17.374  -17.053
    1913  -33.511   -6.416  -12.140
    1914  -32.177  -20.379  -24.791
    1915  -39.123  -11.522  -11.718
    1916  -31.617  -20.862  -26.073
    1917  -23.262  -20.147  -36.441
    1918  -46.170  -22.095  -15.440
    1919  -70.036   -4.401  -20.925
    1920  -55.097  -22.266  -33.941
    1921  -62.068  -25.255  -30.616
    1922  -80.822   -3.835  -34.754
    1923  -61.605  -13.094  -35.184
    1924  -51.401  -29.147  -29.310
    1925  -51.992  -26.127  -27.380
    1926  -67.866   -5.988  -31.060
    1927  -61.442  -13.679  -35.104
    1928  -58.911  -10.290  -37.990
    1929  -51.532  -22.481  -37.277
    1930  -42.572  -24.454  -42.265
    1931  -48.491  -24.840  -35.581
    1932  -27.144  -44.940  -25.748
    1933  -55.299  -23.008  -13.840
    1934  -42.167  -15.358    0.828
    1935  -29.487  -39.475    9.159
    1936  -31.560  -31.284  -12.436
    1937  -46.266  -26.473   -1.770
    1938  -28.387  -34.790  -10.038
    1939  -40.111  -29.779  -17.311
    1940  -30.602  -29.019  -18.005
    1941  -64.860  -29.045  -13.291
    1942  -48.900  -29.692  -10.210
    1943  -35.896  -32.016  -16.021
    1944  -27.081  -39.723  -17.235
    1945  -17.319  -48.839  -16.584
    1946  -26.853  -37.827  -12.344
    1947  -21.308  -54.507  -28.600
    1948  -33.612  -39.363  -20.501
    1949  -25.039  -32.545  -23.833
    1950  -11.461  -38.933  -33.995
    1951  -35.161  -15.792  -10.280
    1952  -18.728  -23.354  -18.424
    1953    3.377  -41.944  -28.099
    1954   -6.685  -33.105  -24.309
    1955   -5.565  -48.460  -27.769
    1956  -15.565  -53.317  -25.874
    1957  -11.287  -46.039  -25.219
    1958  -14.996  -56.903  -43.493
    1959  -31.925  -38.067  -44.046
    1960  -31.744  -24.254  -37.411
    1961  -16.029  -28.230  -25.688
    1962  -15.452  -34.388  -44.998
    1963  -10.756  -36.117  -35.159
    1964  -12.195  -29.648  -20.229
    1965  -43.490  -19.451  -26.645
    1966   -2.523  -43.734  -39.273
    1967  -15.686  -44.322  -26.507
    1968  -13.079  -32.912  -22.456
    1969  -28.724  -28.101  -18.415
    1970  -28.890  -34.733  -33.805
    1971   -7.752  -34.026  -13.376
    1972  -37.752  -20.846  -21.129
    1973  -20.214  -25.517  -15.811
    1974  -25.567  -23.754  -21.148
    1975  -12.987  -17.286   -2.672
    1976   -3.900  -26.653    0.742
    1977  -14.188  -18.585  -13.436
    1978  -22.432   -9.732   11.539
    1979  -18.242  -16.950   -3.445
    1980  -20.255  -15.803  -14.050
    1981  -33.141  -11.061   -9.171
    1982  -19.845  -14.969  -11.082
    1983  -29.226  -18.269    3.128
    1984  -20.776  -19.220  -25.750
    1985  -32.700  -20.262  -23.361
    1986  -21.800  -23.498  -18.704
    1987  -41.617  -16.783  -15.986
    1988  -56.373   -4.367  -10.738
    1989  -42.636   -0.811  -17.041
    1990  -29.606  -20.198  -20.133
    1991  -46.785  -17.341  -16.969
    1992  -42.931  -18.989  -20.929
    1993  -40.689  -21.449  -24.396
    1994  -46.167  -21.059  -15.958
    1995  -48.250  -13.951  -28.897
    1996  -36.279  -19.110  -28.283
    1997  -38.196  -15.496  -33.379
    1998  -67.229  -10.617  -30.194
