['./validate_dock_another_target_gB_dA/record_95.pdbqt', -6.9]
['./validate_dock_another_target_gB_dA/record_96.pdbqt', -6.61]
['./validate_dock_another_target_gB_dA/record_97.pdbqt', -6.88]
['./validate_dock_another_target_gB_dA/record_98.pdbqt', -7.21]
['./validate_dock_another_target_gB_dA/record_99.pdbqt', -6.31]
['./validate_dock_another_target_gB_dA/record_100.pdbqt', -6.58]
['./validate_dock_another_target_gB_dA/record_101.pdbqt', -7.2]
['./validate_dock_another_target_gB_dA/record_102.pdbqt', -6.45]
['./validate_dock_another_target_gB_dA/record_103.pdbqt', -6.9]
['./validate_dock_another_target_gB_dA/record_104.pdbqt', -7.17]
['./validate_dock_another_target_gB_dA/record_105.pdbqt', -7.08]
['./validate_dock_another_target_gB_dA/record_106.pdbqt', -6.58]
['./validate_dock_another_target_gB_dA/record_107.pdbqt', -6.51]
['./validate_dock_another_target_gB_dA/record_108.pdbqt', -6.42]
['./validate_dock_another_target_gB_dA/record_109.pdbqt', -6.6]
['./validate_dock_another_target_gB_dA/record_110.pdbqt', -8.06]
['./validate_dock_another_target_gB_dA/record_111.pdbqt', -7.39]
['./validate_dock_another_target_gB_dA/record_112.pdbqt', -7.12]
['./validate_dock_another_target_gB_dA/record_113.pdbqt', -7.62]
['./validate_dock_another_target_gB_dA/record_114.pdbqt', -7.63]
['./validate_dock_another_target_gB_dA/record_115.pdbqt', -7.04]
['./validate_dock_another_target_gB_dA/record_116.pdbqt', -7.04]
['./validate_dock_another_target_gB_dA/record_117.pdbqt', -7.65]
['./validate_dock_another_target_gB_dA/record_118.pdbqt', -6.92]
['./validate_dock_another_target_gB_dA/record_119.pdbqt', -6.73]
['./validate_dock_another_target_gB_dA/record_120.pdbqt', -6.77]
['./validate_dock_another_target_gB_dA/record_121.pdbqt', -6.86]
['./validate_dock_another_target_gB_dA/record_122.pdbqt', -7.1]
['./validate_dock_another_target_gB_dA/record_123.pdbqt', -6.88]
['./validate_dock_another_target_gB_dA/record_124.pdbqt', -6.87]
['./validate_dock_another_target_gB_dA/record_125.pdbqt', -6.79]
['./validate_dock_another_target_gB_dA/record_126.pdbqt', -6.64]
['./validate_dock_another_target_gB_dA/record_127.pdbqt', -6.74]
['./validate_dock_another_target_gB_dA/record_128.pdbqt', -6.64]
['./validate_dock_another_target_gB_dA/record_129.pdbqt', -6.55]
['./validate_dock_another_target_gB_dA/record_130.pdbqt', -6.77]
['./validate_dock_another_target_gB_dA/record_131.pdbqt', -6.77]
['./validate_dock_another_target_gB_dA/record_132.pdbqt', -6.78]
['./validate_dock_another_target_gB_dA/record_133.pdbqt', -6.68]
['./validate_dock_another_target_gB_dA/record_134.pdbqt', -6.84]
['./validate_dock_another_target_gB_dA/record_135.pdbqt', -6.84]
['./validate_dock_another_target_gB_dA/record_136.pdbqt', -6.47]
['./validate_dock_another_target_gB_dA/record_137.pdbqt', -6.71]
['./validate_dock_another_target_gB_dA/record_138.pdbqt', -6.42]
['./validate_dock_another_target_gB_dA/record_139.pdbqt', -6.62]
['./validate_dock_another_target_gB_dA/record_140.pdbqt', -6.53]
['./validate_dock_another_target_gB_dA/record_141.pdbqt', -6.6]
['./validate_dock_another_target_gB_dA/record_142.pdbqt', -7.36]
['./validate_dock_another_target_gB_dA/record_143.pdbqt', -8.07]
['./validate_dock_another_target_gB_dA/record_144.pdbqt', -7.17]
['./validate_dock_another_target_gB_dA/record_145.pdbqt', -7.41]
['./validate_dock_another_target_gB_dA/record_146.pdbqt', -7.51]
['./validate_dock_another_target_gB_dA/record_147.pdbqt', -7.91]
['./validate_dock_another_target_gB_dA/record_148.pdbqt', -7.05]
['./validate_dock_another_target_gB_dA/record_149.pdbqt', -6.98]
['./validate_dock_another_target_gB_dA/record_150.pdbqt', -6.68]
