['./validate_dock_another_target/record_115.pdbqt', -6.75]
['./validate_dock_another_target/record_116.pdbqt', -6.87]
['./validate_dock_another_target/record_117.pdbqt', -6.43]
['./validate_dock_another_target/record_118.pdbqt', -6.58]
['./validate_dock_another_target/record_119.pdbqt', -6.35]
['./validate_dock_another_target/record_120.pdbqt', -6.69]
['./validate_dock_another_target/record_121.pdbqt', -6.99]
['./validate_dock_another_target/record_122.pdbqt', -7.53]
['./validate_dock_another_target/record_123.pdbqt', -6.89]
['./validate_dock_another_target/record_124.pdbqt', -7.2]
['./validate_dock_another_target/record_125.pdbqt', -7.28]
['./validate_dock_another_target/record_126.pdbqt', -6.54]
['./validate_dock_another_target/record_127.pdbqt', -6.63]
['./validate_dock_another_target/record_128.pdbqt', -7.03]
['./validate_dock_another_target/record_129.pdbqt', -6.47]
['./validate_dock_another_target/record_130.pdbqt', -6.13]
['./validate_dock_another_target/record_131.pdbqt', -6.62]
['./validate_dock_another_target/record_132.pdbqt', -6.15]
['./validate_dock_another_target/record_133.pdbqt', -6.99]
['./validate_dock_another_target/record_134.pdbqt', -6.55]
['./validate_dock_another_target/record_135.pdbqt', -6.43]
['./validate_dock_another_target/record_136.pdbqt', -6.61]
['./validate_dock_another_target/record_137.pdbqt', -6.42]
['./validate_dock_another_target/record_138.pdbqt', -6.23]
['./validate_dock_another_target/record_139.pdbqt', -6.31]
['./validate_dock_another_target/record_140.pdbqt', -6.6]
['./validate_dock_another_target/record_141.pdbqt', -6.36]
['./validate_dock_another_target/record_142.pdbqt', -6.59]
['./validate_dock_another_target/record_143.pdbqt', -6.25]
['./validate_dock_another_target/record_144.pdbqt', -7.49]
['./validate_dock_another_target/record_145.pdbqt', -6.83]
['./validate_dock_another_target/record_146.pdbqt', -6.84]
['./validate_dock_another_target/record_147.pdbqt', -6.71]
['./validate_dock_another_target/record_148.pdbqt', -6.71]
['./validate_dock_another_target/record_149.pdbqt', -6.75]
['./validate_dock_another_target/record_150.pdbqt', -7.27]
['./validate_dock_another_target/record_151.pdbqt', -7.27]
['./validate_dock_another_target/record_152.pdbqt', -7.13]
['./validate_dock_another_target/record_153.pdbqt', -7.15]
['./validate_dock_another_target/record_154.pdbqt', -6.87]
['./validate_dock_another_target/record_155.pdbqt', -7.17]
['./validate_dock_another_target/record_156.pdbqt', -7.12]
['./validate_dock_another_target/record_157.pdbqt', -7.38]
['./validate_dock_another_target/record_158.pdbqt', -7.84]
['./validate_dock_another_target/record_159.pdbqt', -6.88]
['./validate_dock_another_target/record_160.pdbqt', -6.58]
['./validate_dock_another_target/record_161.pdbqt', -7.35]
['./validate_dock_another_target/record_162.pdbqt', -6.58]
['./validate_dock_another_target/record_163.pdbqt', -6.75]
['./validate_dock_another_target/record_164.pdbqt', -7.43]
['./validate_dock_another_target/record_165.pdbqt', -6.59]
['./validate_dock_another_target/record_166.pdbqt', -6.89]
['./validate_dock_another_target/record_167.pdbqt', -7.34]
['./validate_dock_another_target/record_168.pdbqt', -6.65]
['./validate_dock_another_target/record_169.pdbqt', -7.54]
['./validate_dock_another_target/record_170.pdbqt', -7.72]
['./validate_dock_another_target/record_171.pdbqt', -7.33]
['./validate_dock_another_target/record_172.pdbqt', -6.65]
['./validate_dock_another_target/record_173.pdbqt', -7.29]
['./validate_dock_another_target/record_174.pdbqt', -7.47]
['./validate_dock_another_target/record_175.pdbqt', -6.8]
['./validate_dock_another_target/record_176.pdbqt', -7.4]
['./validate_dock_another_target/record_177.pdbqt', -7.78]
['./validate_dock_another_target/record_178.pdbqt', -6.84]
['./validate_dock_another_target/record_179.pdbqt', -7.33]
['./validate_dock_another_target/record_180.pdbqt', -6.85]
['./validate_dock_another_target/record_181.pdbqt', -7.1]
['./validate_dock_another_target/record_182.pdbqt', -6.78]
['./validate_dock_another_target/record_183.pdbqt', -6.97]
['./validate_dock_another_target/record_184.pdbqt', -8.31]
['./validate_dock_another_target/record_185.pdbqt', -8.17]
['./validate_dock_another_target/record_186.pdbqt', -7.86]
['./validate_dock_another_target/record_187.pdbqt', -8.06]
['./validate_dock_another_target/record_188.pdbqt', -7.96]
['./validate_dock_another_target/record_189.pdbqt', -7.17]
['./validate_dock_another_target/record_190.pdbqt', -7.41]
['./validate_dock_another_target/record_191.pdbqt', -7.76]
['./validate_dock_another_target/record_192.pdbqt', -7.89]
['./validate_dock_another_target/record_193.pdbqt', -6.88]
['./validate_dock_another_target/record_194.pdbqt', -7.02]
['./validate_dock_another_target/record_195.pdbqt', -7.21]
['./validate_dock_another_target/record_196.pdbqt', -6.57]
['./validate_dock_another_target/record_197.pdbqt', -6.65]
['./validate_dock_another_target/record_198.pdbqt', -6.62]
['./validate_dock_another_target/record_199.pdbqt', -7.01]
['./validate_dock_another_target/record_200.pdbqt', -7.12]
['./validate_dock_another_target/record_201.pdbqt', -7.1]
['./validate_dock_another_target/record_202.pdbqt', -6.89]
['./validate_dock_another_target/record_203.pdbqt', -7.22]
['./validate_dock_another_target/record_204.pdbqt', -7.47]
['./validate_dock_another_target/record_205.pdbqt', -7.33]
['./validate_dock_another_target/record_206.pdbqt', -7.57]
['./validate_dock_another_target/record_207.pdbqt', -8.62]
['./validate_dock_another_target/record_208.pdbqt', -7.27]
['./validate_dock_another_target/record_209.pdbqt', -7.33]
['./validate_dock_another_target/record_210.pdbqt', -7.78]
['./validate_dock_another_target/record_211.pdbqt', -7.09]
['./validate_dock_another_target/record_212.pdbqt', -6.67]
['./validate_dock_another_target/record_213.pdbqt', -6.57]
['./validate_dock_another_target/record_214.pdbqt', -7.02]
['./validate_dock_another_target/record_215.pdbqt', -6.96]
['./validate_dock_another_target/record_216.pdbqt', -7.17]
['./validate_dock_another_target/record_217.pdbqt', -6.98]
['./validate_dock_another_target/record_218.pdbqt', -6.86]
['./validate_dock_another_target/record_219.pdbqt', -7.15]
['./validate_dock_another_target/record_220.pdbqt', -7.15]
['./validate_dock_another_target/record_221.pdbqt', -7.43]
['./validate_dock_another_target/record_222.pdbqt', -6.84]
['./validate_dock_another_target/record_223.pdbqt', -6.69]
['./validate_dock_another_target/record_224.pdbqt', -7.0]
['./validate_dock_another_target/record_225.pdbqt', -6.57]
['./validate_dock_another_target/record_226.pdbqt', -6.89]
['./validate_dock_another_target/record_227.pdbqt', -6.68]
['./validate_dock_another_target/record_228.pdbqt', -7.4]
['./validate_dock_another_target/record_229.pdbqt', -6.63]
['./validate_dock_another_target/record_230.pdbqt', -7.3]
['./validate_dock_another_target/record_231.pdbqt', -6.98]
['./validate_dock_another_target/record_232.pdbqt', -7.02]
['./validate_dock_another_target/record_233.pdbqt', -6.85]
['./validate_dock_another_target/record_234.pdbqt', -6.78]
['./validate_dock_another_target/record_235.pdbqt', -6.3]
['./validate_dock_another_target/record_236.pdbqt', -7.22]
['./validate_dock_another_target/record_237.pdbqt', -8.25]
['./validate_dock_another_target/record_238.pdbqt', -7.33]
['./validate_dock_another_target/record_239.pdbqt', -7.83]
['./validate_dock_another_target/record_240.pdbqt', -7.47]
['./validate_dock_another_target/record_241.pdbqt', -7.43]
['./validate_dock_another_target/record_242.pdbqt', -6.9]
['./validate_dock_another_target/record_243.pdbqt', -8.13]
['./validate_dock_another_target/record_244.pdbqt', -7.45]
['./validate_dock_another_target/record_245.pdbqt', -6.76]
['./validate_dock_another_target/record_246.pdbqt', -6.85]
['./validate_dock_another_target/record_247.pdbqt', -7.61]
['./validate_dock_another_target/record_248.pdbqt', -7.41]
['./validate_dock_another_target/record_249.pdbqt', -7.38]
['./validate_dock_another_target/record_250.pdbqt', -7.29]
['./validate_dock_another_target/record_251.pdbqt', -7.3]
['./validate_dock_another_target/record_252.pdbqt', -6.96]
['./validate_dock_another_target/record_253.pdbqt', -6.96]
['./validate_dock_another_target/record_254.pdbqt', -7.27]
['./validate_dock_another_target/record_255.pdbqt', -7.55]
['./validate_dock_another_target/record_256.pdbqt', -7.79]
['./validate_dock_another_target/record_257.pdbqt', -8.2]
['./validate_dock_another_target/record_258.pdbqt', -7.68]
['./validate_dock_another_target/record_259.pdbqt', -7.33]
['./validate_dock_another_target/record_260.pdbqt', -8.26]
['./validate_dock_another_target/record_261.pdbqt', -8.7]
['./validate_dock_another_target/record_262.pdbqt', -8.04]
['./validate_dock_another_target/record_263.pdbqt', -7.88]
['./validate_dock_another_target/record_264.pdbqt', -7.17]
['./validate_dock_another_target/record_265.pdbqt', -8.39]
['./validate_dock_another_target/record_266.pdbqt', -7.48]
['./validate_dock_another_target/record_267.pdbqt', -7.69]
['./validate_dock_another_target/record_268.pdbqt', -7.69]
['./validate_dock_another_target/record_269.pdbqt', -7.79]
['./validate_dock_another_target/record_270.pdbqt', -7.43]
['./validate_dock_another_target/record_271.pdbqt', -6.96]
['./validate_dock_another_target/record_272.pdbqt', -7.55]
['./validate_dock_another_target/record_273.pdbqt', -7.38]
['./validate_dock_another_target/record_274.pdbqt', -6.97]
['./validate_dock_another_target/record_275.pdbqt', -7.13]
['./validate_dock_another_target/record_276.pdbqt', -7.9]
['./validate_dock_another_target/record_277.pdbqt', -7.09]
['./validate_dock_another_target/record_278.pdbqt', -7.09]
['./validate_dock_another_target/record_279.pdbqt', -6.78]
['./validate_dock_another_target/record_280.pdbqt', -6.35]
['./validate_dock_another_target/record_281.pdbqt', -6.59]
['./validate_dock_another_target/record_282.pdbqt', -6.1]
['./validate_dock_another_target/record_283.pdbqt', -6.14]
['./validate_dock_another_target/record_284.pdbqt', -7.34]
['./validate_dock_another_target/record_285.pdbqt', -7.19]
['./validate_dock_another_target/record_286.pdbqt', -6.93]
['./validate_dock_another_target/record_287.pdbqt', -6.99]
['./validate_dock_another_target/record_288.pdbqt', -7.11]
['./validate_dock_another_target/record_289.pdbqt', -6.75]
['./validate_dock_another_target/record_290.pdbqt', -6.23]
['./validate_dock_another_target/record_291.pdbqt', -6.21]
['./validate_dock_another_target/record_292.pdbqt', -5.94]
['./validate_dock_another_target/record_293.pdbqt', -6.74]
['./validate_dock_another_target/record_294.pdbqt', -6.11]
['./validate_dock_another_target/record_295.pdbqt', -6.22]
